"Orders","Naročila"
"Orders overview","pregled naročil"
"ID","ID"
"START_DATE","datum"
"NAME","ime"
"SURNAME","priimek"
"EMAIL","e-pošta"
"AMOUNT","skupaj cena"
"TYPE","prevzem"
"DELIVERY","dostava"
"PICKUP","lasten prevzem"
"ENTITY","podjetje"
"PAYMENT_METHOD","način plačila"
"PAID","plačano"
"STATUS","status"
"ORDER_DETAILS","podrobnosti naročila"
"SET_DELIVERED","dostavljeno (nastavi status = 1)"
"SET_PICKEDUP","prevzeto (nastavi status = 2)"
"ORDER_DETAIL_INFO_WIN","podrobnosti naročila"
"ORDER","naročilo"
"CONFIRM_ORDER","potrdi naročilo [PLAČANO]"
"CANCEL_ORDER","prekliči naročilo [STORNO]"